Date,AQI,state_id
01-01-2021,43,SD
02-01-2021,35,SD
03-01-2021,55,SD
04-01-2021,7,SD
05-01-2021,12,SD
06-01-2021,23,SD
07-01-2021,64,SD
08-01-2021,55,SD
09-01-2021,38,SD
10-01-2021,7,SD
11-01-2021,15,SD
12-01-2021,15,SD
13-01-2021,12,SD
14-01-2021,22,SD
15-01-2021,5,SD
16-01-2021,16,SD
17-01-2021,8,SD
18-01-2021,21,SD
19-01-2021,17,SD
20-01-2021,13,SD
21-01-2021,11,SD
22-01-2021,18,SD
23-01-2021,25,SD
24-01-2021,14,SD
25-01-2021,17,SD
26-01-2021,15,SD
27-01-2021,23,SD
28-01-2021,59,SD
29-01-2021,63,SD
30-01-2021,88,SD
31-01-2021,61,SD
01-02-2021,12,SD
02-02-2021,14,SD
03-02-2021,10,SD
04-02-2021,13,SD
05-02-2021,10,SD
06-02-2021,8,SD
07-02-2021,7,SD
08-02-2021,10,SD
09-02-2021,11,SD
10-02-2021,12,SD
11-02-2021,10,SD
12-02-2021,16,SD
17-02-2021,27,SD
18-02-2021,23,SD
19-02-2021,28,SD
20-02-2021,24,SD
21-02-2021,21,SD
22-02-2021,23,SD
23-02-2021,11,SD
24-02-2021,18,SD
25-02-2021,14,SD
26-02-2021,19,SD
27-02-2021,15,SD
28-02-2021,19,SD
01-03-2021,20,SD
02-03-2021,16,SD
03-03-2021,19,SD
04-03-2021,32,SD
05-03-2021,55,SD
06-03-2021,47,SD
07-03-2021,23,SD
08-03-2021,19,SD
09-03-2021,30,SD
10-03-2021,14,SD
11-03-2021,26,SD
12-03-2021,26,SD
13-03-2021,31,SD
14-03-2021,15,SD
15-03-2021,15,SD
16-03-2021,22,SD
17-03-2021,21,SD
18-03-2021,24,SD
19-03-2021,19,SD
20-03-2021,20,SD
21-03-2021,16,SD
22-03-2021,13,SD
23-03-2021,16,SD
24-03-2021,12,SD
25-03-2021,15,SD
26-03-2021,25,SD
27-03-2021,19,SD
28-03-2021,19,SD
29-03-2021,68,SD
30-03-2021,55,SD
31-03-2021,14,SD
01-04-2021,29,SD
02-04-2021,69,SD
03-04-2021,31,SD
04-04-2021,26,SD
